individual;species;year;beach;d15N;d13C;CN
23;Amactroides;2019;Tramandai;11.3107606;-12.8338264;
17;Amactroides;2018;Balneario_gaivota;9.9689762;-13.7761936;
18;Amactroides;2018;Balneario_gaivota;11.0251434;-13.4774192;
24;Amactroides;2019;Tramandai;10.479594;-13.686152;
149;Amactroides;2019;Praia_cabras;9.8663038;-15.573421;4.129495972
150;Amactroides;2019;Praia_cabras;9.6671806;-15.0107005;4.291044818
151;Amactroides;2018;Balneario_gaivota;10.8608827;-14.587921;4.688755404
116;Amactroides;2020;pnlp;10.8112091;-14.8416842;
117;Amactroides;2020;pnlp;10.4497142;-14.7207456;
118;Amactroides;2020;pnlp;10.9162589;-14.9418055;
159;Csapidus;2019;Tramandai;10.0270543;-16.986628;3.181786588
160;Csapidus;2019;Tramandai;12.0213976;-18.9448165;3.246992031
161;Csapidus;2019;Tramandai;11.7559;-16.196257;3.232380238
15;Dhanleyanus;2018;Praia_grande;11.5624736;-13.80382;
16;Dhanleyanus;2018;Praia_grande;11.7093918;-14.2038912;
25;Dhanleyanus;2019;Praia_grande;11.5604188;-13.6216904;
26;Dhanleyanus;2019;Praia_grande;10.2474016;-14.3021184;
146;Dhanleyanus;2019;NA;10.0083865;-14.855977;4.352429142
147;Dhanleyanus;2019;NA;9.6184369;-15.1072795;4.433190385
148;Dhanleyanus;2019;NA;8.727568;-15.305365;3.360955263
10;Ebrasiliensis;2018;Praia_grande;10.5833614;-14.1598936;
6.8;Ebrasiliensis;2019;Praia_grande;10.4929502;-13.9020472;
7.5;Ebrasiliensis;2019;Praia_grande;11.193637;-13.7229872;
9,11,12;Ebrasiliensis;2018;Praia_grande;9.4973996;-13.977764;
152;Isopoda;2019;Tramandai;11.5598881;-13.7532025;4.021575143
153;Isopoda;2019;Tramandai;11.2653517;-13.7610865;4.427698306
156;Ngranulata;2019;Tramandai;12.0483622;-18.8915995;3.190002173
157;Ngranulata;2019;Tramandai;10.0944658;-20.362951;3.292124848
158;Ngranulata;2019;Tramandai;8.8323151;-19.7785495;3.332763182
19;Oauricularia;2018;Praia_grande;14.491591;-11.8413224;
20;Oauricularia;2018;Praia_grande;13.469328;-14.0094832;
31;Oauricularia;2019;Tramandai;14.4227552;-11.7543504;
32;Oauricularia;2019;Tramandai;13.2669302;-13.0814408;
144;Oauricularia;2019;NA;14.0323345;-13.3048;3.22306328
143;Oauricularia;2019;NA;14.6297041;-13.2525685;3.309774954
145;Oauricularia;2019;NA;12.8438179;-13.5659575;3.008843695
162;Polichaeta;2019;Tramandai;11.3856553;-12.2473585;3.62854371
163;Polichaeta;2019;Tramandai;8.032711;-12.3715315;3.172106329
164;Polichaeta;2019;Tramandai;12.004804;-14.1730255;2.953532182
13;Stramonita;2018;Praia_grande;10.310073;-14.4310416;
14;Stramonita;2018;Praia_grande;12.2343932;-13.911256;
27;Stramonita;2019;Praia_grande;12.1408998;-13.5521128;
28;Stramonita;2019;Praia_grande;11.6641862;-13.3116608;
154;Tagellus;2019;Tramandai;9.3207892;-14.725891;5.359646951
155;Tagellus;2019;Tramandai;10.9314055;-13.793608;4.021016219
22;Pperna;2018;Praia_grande;12.0340502;-12.893172;
21;Pperna;2018;Praia_grande;12.5611064;-13.9593464;
29;Pperna;2019;Praia_grande;8.342602;-14.397276;
30;Pperna;2019;Praia_grande;9.8487704;-14.6356816;
139;Pperna;2019;Tramandai;9.9108991;-15.0540625;5.59795482
140;Pperna;2019;Tramandai;9.1154434;-15.15754;3.617108731
141;Pperna;2019;Tramandai;10.1940274;-14.8392235;5.803268809
142;Pperna;2018;Torres;9.8040778;-14.6815435;3.838834885
